id,title_fa,Rate,Rate_cnt,Category1,Category2,Brand,Price,Seller,Is_Fake,min_price_last_month,sub_category

11607519,عینک آفتابی مدل 3548 - Fnok شیشه,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5500000,فروشگاه آرکوشپ,True,0,clothe
12231712,عینک آفتابی مدل RB2186 - پلار,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5350000,فروشگاه آرکوشپ,True,0,clothe
10933430,عینک آفتابی مدل 628 - TRAND,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5110000,فروشگاه آرکوشپ,True,0,clothe
8671593,عینک آفتابی مدل C86374duye,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5789400,اوپال اوپتیک,False,0,clothe
10892181,عینک آفتابی مدل 3332 - BG,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5720000,فروشگاه آرکوشپ,True,0,clothe
10914241,عینک آفتابی مدل 024,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5400000,عینک برلین,True,0,clothe
11209967,عینک آفتابی مدل 2173  M-tos-m,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5120000,فروشگاه آرکوشپ,True,0,clothe
7212371,عینک آفتابی مدل N1109brbr,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5600000,عینک دونی,False,0,clothe
11555883,عینک آفتابی مدل 9683 - Fnok-ad,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5400000,فروشگاه آرکوشپ,False,0,clothe
6290484,عینک آفتابی مدل D004,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5530000,عینک دونی,False,0,clothe
11199954,عینک آفتابی مدل 78067 -OG - fm-grz,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5165000,فروشگاه آرکوشپ,True,0,clothe
